"cod_ibge";"regiao";"uf";"municipio";"total_2010";"total_2011";"total_2012"
"2105351";"Nordeste";"MA";"Itaipava do Grajaú";4;1;1
"2105401";"Nordeste";"MA";"Itapecuru Mirim";8;15;3
"2105609";"Nordeste";"MA";"Joselândia";2;2;1
"2105708";"Nordeste";"MA";"Lago da Pedra";13;12;12
"2106300";"Nordeste";"MA";"Magalhães de Almeida";2;1;1
"2106375";"Nordeste";"MA";"Maranhãozinho";1;4;2
"2106706";"Nordeste";"MA";"Mirador";4;2;1
"2106755";"Nordeste";"MA";"Miranda do Norte";3;2;2
"2106805";"Nordeste";"MA";"Mirinzal";3;2;1
"2106904";"Nordeste";"MA";"Monção";2;3;7
"2107100";"Nordeste";"MA";"Morros";2;4;2
"2107209";"Nordeste";"MA";"Nina Rodrigues";3;2;4
"2107357";"Nordeste";"MA";"Nova Olinda do Maranhão";1;1;1
"2107506";"Nordeste";"MA";"Paço do Lumiar";2;3;2
"2108108";"Nordeste";"MA";"Paulo Ramos";6;7;3
"2108207";"Nordeste";"MA";"Pedreiras";10;11;5
"2108306";"Nordeste";"MA";"Penalva";5;8;9
"2108603";"Nordeste";"MA";"Pinheiro";50;46;54
"2108801";"Nordeste";"MA";"Pirapemas";5;4;4
"2109007";"Nordeste";"MA";"Porto Franco";2;2;4
"2109106";"Nordeste";"MA";"Presidente Dutra";12;16;18
"2109700";"Nordeste";"MA";"Sambaíba";1;2;1
"2109809";"Nordeste";"MA";"Santa Helena";1;4;2
"2109908";"Nordeste";"MA";"Santa Inês";23;26;38
"2110005";"Nordeste";"MA";"Santa Luzia";5;18;13
"2110104";"Nordeste";"MA";"Santa Quitéria do Maranhão";8;1;2
"2110500";"Nordeste";"MA";"São Bento";3;2;4
"2110609";"Nordeste";"MA";"São Bernardo";3;4;6
"2111029";"Nordeste";"MA";"São João do Carú";2;4;3
"2111102";"Nordeste";"MA";"São João dos Patos";4;2;3
"2111201";"Nordeste";"MA";"São José de Ribamar";2;2;11
"2111300";"Nordeste";"MA";"São Luís";649;672;564
"2111706";"Nordeste";"MA";"São Vicente Ferrer";3;5;1
"2111805";"Nordeste";"MA";"Sítio Novo";3;1;1
"2112209";"Nordeste";"MA";"Timon";17;11;11
"2112308";"Nordeste";"MA";"Tuntum";3;10;2
"2112407";"Nordeste";"MA";"Turiaçu";3;4;5
"2112506";"Nordeste";"MA";"Tutóia";5;3;1
"2112605";"Nordeste";"MA";"Urbano Santos";1;4;4
"2112704";"Nordeste";"MA";"Vargem Grande";13;12;14
"2112803";"Nordeste";"MA";"Viana";15;25;4
"2112902";"Nordeste";"MA";"Vitória do Mearim";11;3;7
"2113009";"Nordeste";"MA";"Vitorino Freire";5;2;2
"2114007";"Nordeste";"MA";"Zé Doca";8;9;9
"2201101";"Nordeste";"PI";"Avelino Lopes";3;3;1
"2201200";"Nordeste";"PI";"Barras";4;6;3
"2201408";"Nordeste";"PI";"Barro Duro";1;1;1
"2201606";"Nordeste";"PI";"Beneditinos";2;1;2
"2201739";"Nordeste";"PI";"Betânia do Piauí";1;1;1
"2201903";"Nordeste";"PI";"Bom Jesus";14;19;11
"2202208";"Nordeste";"PI";"Campo Maior";4;2;2
"2202307";"Nordeste";"PI";"Canto do Buriti";3;3;3
"2202703";"Nordeste";"PI";"Cocal";5;1;1
"2202901";"Nordeste";"PI";"Corrente";9;5;5
"2203701";"Nordeste";"PI";"Esperantina";3;8;6
"2203909";"Nordeste";"PI";"Floriano";16;9;8
"2204303";"Nordeste";"PI";"Fronteiras";1;2;2
"2205805";"Nordeste";"PI";"Luzilândia";6;2;3
"2207009";"Nordeste";"PI";"Oeiras";5;9;5
"2207702";"Nordeste";"PI";"Parnaíba";99;98;68
"2207801";"Nordeste";"PI";"Paulistana";10;10;8
"2207900";"Nordeste";"PI";"Pedro II";7;4;5
"2208007";"Nordeste";"PI";"Picos";66;66;71
"2208304";"Nordeste";"PI";"Piracuruca";2;2;5
"2208403";"Nordeste";"PI";"Piripiri";9;6;6
"2208502";"Nordeste";"PI";"Porto";1;2;2
"2208650";"Nordeste";"PI";"Queimada Nova";1;1;1
"2208858";"Nordeste";"PI";"Riacho Frio";2;1;1
"2210003";"Nordeste";"PI";"São João do Piauí";6;5;6
"2210409";"Nordeste";"PI";"São Miguel do Tapuio";1;4;2
"2210607";"Nordeste";"PI";"São Raimundo Nonato";12;16;13
"2210706";"Nordeste";"PI";"Simões";2;2;4
"2210805";"Nordeste";"PI";"Simplício Mendes";1;2;1
"2211001";"Nordeste";"PI";"Teresina";550;582;568
"2211209";"Nordeste";"PI";"Uruçuí";1;3;4
"2211308";"Nordeste";"PI";"Valença do Piauí";5;4;3
"2300200";"Nordeste";"CE";"Acaraú";4;9;3
"2300309";"Nordeste";"CE";"Acopiara";8;1;3
"2300408";"Nordeste";"CE";"Aiuaba";1;3;1
"2301000";"Nordeste";"CE";"Aquiraz";4;1;1
"2301109";"Nordeste";"CE";"Aracati";12;8;8
"2301307";"Nordeste";"CE";"Araripe";1;1;3
"2301703";"Nordeste";"CE";"Aurora";1;3;1
"2301901";"Nordeste";"CE";"Barbalha";80;89;83
"2302107";"Nordeste";"CE";"Baturité";5;10;7
"2302404";"Nordeste";"CE";"Boa Viagem";5;5;5
"2302503";"Nordeste";"CE";"Brejo Santo";20;17;8
"2302602";"Nordeste";"CE";"Camocim";6;5;4
"2302701";"Nordeste";"CE";"Campos Sales";3;1;1
"2302800";"Nordeste";"CE";"Canindé";18;11;12
"2303402";"Nordeste";"CE";"Carnaubal";2;1;1
"2303600";"Nordeste";"CE";"Catarina";1;2;1
"2303709";"Nordeste";"CE";"Caucaia";20;12;8
"2304103";"Nordeste";"CE";"Crateús";29;32;38
"2304202";"Nordeste";"CE";"Crato";35;31;29
"2304400";"Nordeste";"CE";"Fortaleza";897;950;870
"2305001";"Nordeste";"CE";"Guaraciaba do Norte";4;1;3
"2305233";"Nordeste";"CE";"Horizonte";1;1;1
"2305407";"Nordeste";"CE";"Icó";9;11;6
"2305506";"Nordeste";"CE";"Iguatu";13;17;21
"2305654";"Nordeste";"CE";"Ipaporanga";1;1;1
"2305803";"Nordeste";"CE";"Ipu";2;6;4
"2305902";"Nordeste";"CE";"Ipueiras";2;2;2
"2306306";"Nordeste";"CE";"Itapagé";7;3;1
"2306405";"Nordeste";"CE";"Itapipoca";29;26;37
"2306900";"Nordeste";"CE";"Jaguaribe";4;1;4
"2307304";"Nordeste";"CE";"Juazeiro do Norte";100;106;88
"2307403";"Nordeste";"CE";"Jucás";1;1;1
"2307502";"Nordeste";"CE";"Lavras da Mangabeira";1;1;1
"2307601";"Nordeste";"CE";"Limoeiro do Norte";8;15;4
"2307650";"Nordeste";"CE";"Maracanaú";11;11;11
"2307700";"Nordeste";"CE";"Maranguape";1;1;5
"2308104";"Nordeste";"CE";"Mauriti";3;2;4
"2308401";"Nordeste";"CE";"Missão Velha";1;3;1
"2308500";"Nordeste";"CE";"Mombaça";3;2;2
"2308609";"Nordeste";"CE";"Monsenhor Tabosa";1;1;1
"2308708";"Nordeste";"CE";"Morada Nova";4;4;1
"2309607";"Nordeste";"CE";"Pacajus";4;1;1
"2309706";"Nordeste";"CE";"Pacatuba";1;1;2
"2310308";"Nordeste";"CE";"Parambu";1;1;1
"2310506";"Nordeste";"CE";"Pedra Branca";1;5;3
"2310704";"Nordeste";"CE";"Pentecoste";1;1;1
"2310803";"Nordeste";"CE";"Pereiro";1;1;1
"2311306";"Nordeste";"CE";"Quixadá";24;39;20
"2311405";"Nordeste";"CE";"Quixeramobim";2;10;3
"2311603";"Nordeste";"CE";"Redenção";1;4;1
"2311801";"Nordeste";"CE";"Russas";8;4;4
"2311959";"Nordeste";"CE";"Salitre";1;2;1
"2312908";"Nordeste";"CE";"Sobral";190;185;204
"2313302";"Nordeste";"CE";"Tauá";5;7;6
"2313351";"Nordeste";"CE";"Tejuçuoca";1;3;2
"2313401";"Nordeste";"CE";"Tianguá";12;17;14
"2313500";"Nordeste";"CE";"Trairi";3;2;2
"2314003";"Nordeste";"CE";"Várzea Alegre";4;1;1
"2314102";"Nordeste";"CE";"Viçosa do Ceará";4;4;6
"2400208";"Nordeste";"RN";"Açu";2;4;3
"2400604";"Nordeste";"RN";"Almino Afonso";2;1;1
"2401453";"Nordeste";"RN";"Baraúna";1;1;1
"2402006";"Nordeste";"RN";"Caicó";4;10;4
"2402204";"Nordeste";"RN";"Canguaretama";1;4;2
"2402303";"Nordeste";"RN";"Caraúbas";3;1;1
"2402600";"Nordeste";"RN";"Ceará-Mirim";3;1;1
"2403103";"Nordeste";"RN";"Currais Novos";49;35;27
"2403251";"Nordeste";"RN";"Parnamirim";43;51;55
